whatsapp_group,whatsapp_group_temp,timestamp,year,month,week,day_of_week,author,active_years,early_leaver,number_of_chats_that_day,length_chat,number_of_words,avg_word_length,previous_author,response_time,next_author,has_link,was_deleted,pictures_deleted,videos_deleted,number_of_pictures_videos,audios_deleted,gifs_deleted,stickers_deleted,documents_deleted,videonotes_deleted,has_attachment,number_of_emojis,has_emoji,list_of_all_emojis,list_of_connected_emojis,starts_with_emoji,emoji_starting_chat,ends_with_emoji,emoji_ending_chat,pct_emojis,number_of_punctuations,has_punctuation,list_of_all_punctuations,list_of_connected_punctuations,ends_with_punctuation,has_question_mark,ends_with_question_mark,punctuation_ending_chat,pct_punctuations,number_of_capitals,has_capitals,list_of_connected_capitals,starts_with_capital,capitalized_words_ratio,number_of_number_characters,has_number_characters,number_of_numbers,message_cleaned,x_day_pct_length_chat,x_day_pct_length_emojis,x_day_pct_length_punctuations,x_number_of_unique_participants_that_day,x_day_pct_messages_of_author,y_sequence_authors_that_day,y_sequence_response_times_that_day
maap,maap,2015-11-04 11:28:12,2015,11,45,2,PB,11,False,1,42,6,6.166666666666667,,0.0,MAAP,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,2,True,[],True,0.3333333333333333,0,False,0,Phons Berkemeijer heeft deze groep gemaakt,100.0,,,1,100.0,PB,0.0
maap,maap,2016-11-16 18:58:50,2016,11,46,2,PB,11,False,1,7,1,5.0,MAAP,152626.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,PB,152626.0
maap,maap,2016-11-18 10:57:18,2016,11,46,4,PB,11,False,1,7,1,5.0,PB,143908.0,AB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,PB,143908.0
maap,maap,2016-11-21 11:03:49,2016,11,47,0,AB,10,False,1,7,1,5.0,PB,259591.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,AB,259591.0
maap,AvT,2016-12-02 22:33:41,2016,12,48,4,AvT,10,False,1,7,1,5.0,AB,991792.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,AvT,991792.0
maap,maap,2016-12-04 20:18:01,2016,12,48,6,PB,11,False,1,7,1,5.0,AvT,164660.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,PB,164660.0
maap,AvT,2016-12-22 23:52:15,2016,12,51,3,AvT,10,False,1,7,1,5.0,PB,1568054.0,AB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],3.3816425120772946,,0.0,3,25.0,AvT,1568054.0
maap,maap,2017-01-01 00:05:48,2017,1,52,6,AB,10,False,1,7,1,5.0,AvT,778413.0,M,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],2.6515151515151514,0.0,0.0,6,16.666666666666664,AB,778413.0
maap,maap,2017-01-01 00:29:59,2017,1,52,6,M,9,False,2,7,1,5.0,AB,1451.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],2.6515151515151514,0.0,0.0,6,16.666666666666664,M,1451.0
maap,AvT,2017-01-15 19:36:44,2017,1,2,6,AvT,10,False,1,7,1,5.0,M,1278405.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,AvT,1278405.0
maap,AvT,2017-02-24 08:46:01,2017,2,8,4,AvT,10,False,1,7,1,5.0,AvT,3416957.0,M,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],100.0,,,1,100.0,AvT,3416957.0
maap,maap,2017-03-04 10:30:37,2017,3,9,5,M,9,False,1,7,1,5.0,AvT,697476.0,M,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],3.608247422680412,0.0,0.0,3,50.0,M,697476.0
maap,maap,2017-03-04 10:52:10,2017,3,9,5,M,9,False,2,7,1,5.0,M,1293.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],3.608247422680412,0.0,0.0,3,50.0,M,1293.0
maap,maap,2017-03-31 11:58:33,2017,3,13,4,PB,11,False,1,39,1,29.0,M,2336783.0,AB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],"['51', '378368', '983653']",False,False,False,,0.0,3,True,"['.', '.', '?']",[],True,True,False,?,7.6923076923076925,0,False,[],False,0.0,15,True,1,"//maps.google.com/?q=51.378368,5.983653",10.29023746701847,,25.0,5,12.5,PB,2336783.0
maap,maap,2017-03-31 16:52:18,2017,3,13,4,AB,10,False,2,7,1,5.0,PB,17625.0,AB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],1.8469656992084433,,0.0,5,25.0,AB,17625.0
maap,maap,2017-03-31 18:27:09,2017,3,13,4,AB,10,False,3,7,1,5.0,AB,5691.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],1.8469656992084433,,0.0,5,25.0,AB,5691.0
maap,maap,2017-04-02 13:14:36,2017,4,13,6,PB,11,False,1,7,1,5.0,AB,154047.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,28.57142857142857,PB,154047.0
maap,AvT,2017-04-02 13:18:24,2017,4,13,6,AvT,10,False,2,7,1,5.0,PB,228.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,42.857142857142854,AvT,228.0
maap,AvT,2017-04-02 13:18:25,2017,4,13,6,AvT,10,False,3,7,1,5.0,AvT,1.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,42.857142857142854,AvT,1.0
maap,AvT,2017-04-02 13:18:25,2017,4,13,6,AvT,10,False,4,7,1,5.0,AvT,0.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,42.857142857142854,AvT,0.0
maap,maap,2017-04-02 13:18:28,2017,4,13,6,PB,11,False,5,7,1,5.0,AvT,3.0,AB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,28.57142857142857,PB,3.0
maap,maap,2017-04-02 13:30:19,2017,4,13,6,AB,10,False,6,7,1,5.0,PB,711.0,M,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,14.285714285714285,AB,711.0
maap,maap,2017-04-02 13:31:17,2017,4,13,6,M,9,False,7,7,1,5.0,AB,58.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],14.285714285714285,,,4,14.285714285714285,M,58.0
maap,maap,2017-05-02 13:33:22,2017,5,18,1,PB,11,False,1,7,1,5.0,M,2592125.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],4.166666666666666,,0.0,4,14.285714285714285,PB,2592125.0
maap,maap,2017-07-27 16:20:29,2017,7,30,3,PB,11,False,1,7,1,5.0,PB,7440427.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],33.33333333333333,,,2,66.66666666666666,PB,7440427.0
maap,maap,2017-07-27 16:20:30,2017,7,30,3,PB,11,False,2,7,1,5.0,PB,1.0,AvT,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],33.33333333333333,,,2,66.66666666666666,PB,1.0
maap,AvT,2017-07-27 19:18:25,2017,7,30,3,AvT,10,False,3,7,1,5.0,PB,10675.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],33.33333333333333,,,2,33.33333333333333,AvT,10675.0
maap,maap,2017-07-28 16:57:30,2017,7,30,4,PB,11,False,1,7,1,5.0,AvT,77945.0,PB,False,False,0,0,0,0,0,0,0,0,False,0,False,[],[],False,False,False,,0.0,0,False,[],[],False,False,False,,0.0,0,False,[],False,0.0,0,False,0,[media],50.0,,,1,100.0,PB,77945.0
