,emoji,count_once,percent_once,unicode_name,unicode_code
0,😂,632,22.91515591007977,:face_with_tears_of_joy:,U+1F602
1,😊,344,12.472806381435824,:smiling_face_with_smiling_eyes:,U+1F60A
2,😄,313,11.348803480783175,:grinning_face_with_smiling_eyes:,U+1F604
3,👍,285,10.333575054387238,:thumbs_up:,U+1F44D
4,🤣,263,9.535895576504712,:rolling_on_the_floor_laughing:,U+1F923
5,😉,223,8.085569253081944,:winking_face:,U+1F609
6,🤭,158,5.728788977519942,:face_with_hand_over_mouth:,U+1F92D
7,🙈,136,4.931109499637419,:see-no-evil_monkey:,U+1F648
8,😘,91,3.2994923857868024,:face_blowing_a_kiss:,U+1F618
9,🎉,72,2.610587382160986,:party_popper:,U+1F389
10,🤪,66,2.393038433647571,:zany_face:,U+1F92A
11,🥳,64,2.320522117476432,:partying_face:,U+1F973
12,🤔,58,2.102973168963017,:thinking_face:,U+1F914
13,🫣,55,1.9941986947063088,:face_with_peeking_eye:,U+1FAE3
14,😁,51,1.849166062364032,:beaming_face_with_smiling_eyes:,U+1F601
15,😜,42,1.5228426395939088,:winking_face_with_tongue:,U+1F61C
16,🔝,39,1.4140681653372007,:TOP_arrow:,U+1F51D
17,⛳,38,1.3778100072516315,:flag_in_hole:,U+26F3
18,🥰,38,1.3778100072516315,:smiling_face_with_hearts:,U+1F970
19,😔,35,1.2690355329949239,:pensive_face:,U+1F614
20,😖,34,1.2327773749093547,:confounded_face:,U+1F616
21,😇,34,1.2327773749093547,:smiling_face_with_halo:,U+1F607
22,😩,34,1.2327773749093547,:weary_face:,U+1F629
23,🥴,33,1.1965192168237855,:woozy_face:,U+1F974
24,😱,32,1.160261058738216,:face_screaming_in_fear:,U+1F631
25,🌞,31,1.1240029006526469,:sun_with_face:,U+1F31E
26,🎄,30,1.0877447425670776,:Christmas_tree:,U+1F384
27,😴,30,1.0877447425670776,:sleeping_face:,U+1F634
28,🚗,30,1.0877447425670776,:automobile:,U+1F697
29,🍻,29,1.0514865844815084,:clinking_beer_mugs:,U+1F37B
30,😫,28,1.015228426395939,:tired_face:,U+1F62B
31,🙄,27,0.9789702683103698,:face_with_rolling_eyes:,U+1F644
32,🤓,26,0.9427121102248005,:nerd_face:,U+1F913
33,🏆,25,0.9064539521392313,:trophy:,U+1F3C6
34,🍀,24,0.8701957940536621,:four_leaf_clover:,U+1F340
35,😎,24,0.8701957940536621,:smiling_face_with_sunglasses:,U+1F60E
36,🤩,24,0.8701957940536621,:star-struck:,U+1F929
37,😌,24,0.8701957940536621,:relieved_face:,U+1F60C
38,✅,22,0.7976794778825236,:check_mark_button:,U+2705
39,☕,20,0.7251631617113851,:hot_beverage:,U+2615
40,😞,20,0.7251631617113851,:disappointed_face:,U+1F61E
41,🥂,18,0.6526468455402465,:clinking_glasses:,U+1F942
42,🏎,18,0.6526468455402465,:racing_car:,U+1F3CE
43,😀,17,0.6163886874546773,:grinning_face:,U+1F600
44,🙏,16,0.580130529369108,:folded_hands:,U+1F64F
45,🍹,16,0.580130529369108,:tropical_drink:,U+1F379
46,🤞,15,0.5438723712835388,:crossed_fingers:,U+1F91E
47,🥺,15,0.5438723712835388,:pleading_face:,U+1F97A
48,🍷,14,0.5076142131979695,:wine_glass:,U+1F377
49,🍾,14,0.5076142131979695,:bottle_with_popping_cork:,U+1F37E
50,🎊,14,0.5076142131979695,:confetti_ball:,U+1F38A
51,🤗,14,0.5076142131979695,:smiling_face_with_open_hands:,U+1F917
52,😬,14,0.5076142131979695,:grimacing_face:,U+1F62C
